,"2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
,"Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)"
"Countries, territories and areas","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Greece","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Grenada","","","","","","90","90","90","90","90","89","89","88","87","86","85","84","83","82","81","81","80","79"
"Guatemala","56","56","56","56","55","55","55","54","54","53","53","52","52","51","51","50","50","49","49","48","48","47","47"
"Guinea","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","24","24","24","23","23","23","22","22","22","22","21","21","21","20","20","20","20","19","19","19","18","18","18"
"Guyana","","","","","","","","","","","","","","","","","","","","","","",""
"Haiti","","","","","","","","","","","","","","","","","","","","","","",""
"Honduras","65","65","64","64","64","63","63","62","61","59","57","56","54","52","51","49","48","46","45","44","42","42","42"
"Hungary","100","100","99","98","96","95","93","92","90","89","87","87","87","87","87","87","87","87","87","87","87","87","87"
"Iceland","100","100","100","100","100","99","99","98","98","97","97","96","96","95","94","94","93","93","92","92","91","91","90"
"India","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","30","30","30","29","29","29","29","28","28","28","27","27","27","26","26","26","26","25","25","25","24","24","24"
"Iran (Islamic Republic of)","94","94","94","94","94","94","93","93","93","93","93","93","92","92","92","92","92","91","91","91","91","91","90"
"Iraq","60","60","60","59","59","58","58","57","57","56","56","55","55","54","54","54","53","53","52","52","51","51","50"
"Ireland","96","96","96","96","96","95","95","95","95","95","95","95","92","88","83","79","74","70","65","65","65","65","64"
"Israel","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Italy","93","93","93","93","93","94","94","94","95","95","95","95","95","96","96","96","96","96","96","95","95","95","95"
"Jamaica","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","99","99","99","99","99","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98"
"Jordan","86","86","86","84","81","79","77","75","73","70","68","66","64","62","60","58","56","53","54","54","53","53","53"
"Kazakhstan","","89","89","89","89","89","88","86","84","83","81","80","78","76","75","73","71","70","68","67","65","63","63"
"Kenya","","","","","","","","","","","","","","","","","","","","","","",""
"Kiribati","14","14","14","14","14","13","13","13","13","12","12","12","12","12","11","11","11","11","11","11","10","10","10"
"Kuwait","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Kyrgyzstan","76","76","76","74","72","71","69","67","65","63","62","60","58","56","54","52","50","48","47","46","46","46","46"
"Lao People's Democratic Republic","18","18","18","18","17","17","16","16","15","15","15","14","14","13","13","12","12","12","11","11","9","7","5"
"Latvia","97","97","97","96","96","96","95","95","95","95","94","94","94","93","93","93","93","93","92","92","92","92","92"
"Lebanon","48","48","48","48","48","47","47","47","47","46","46","46","46","46","45","45","45","45","44","44","44","44","43"
"Lesotho","28","28","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","12","11","10","9"
"Liberia","","","","","","","","","","","","","","","","","","","","","","",""
"Libya","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","95","95","95","95","95","94","94","92","90","88","86","84","82","81","79","77","75","73","71","69","69","69","68"
"Luxembourg","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Madagascar","22","21","21","20","19","19","18","17","17","16","15","14","14","13","12","11","11","10","9","9","8","7","7"
"Malawi","18","17","16","16","15","15","14","14","13","13","12","12","11","11","10","10","9","9","8","8","8","7","7"
"Malaysia","94","94","94","94","94","94","94","94","94","93","93","93","93","93","93","93","93","93","93","93","93","93","93"
"Maldives","","","","","","","","","","","","","","","","","","","","","","",""
"Mali","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Marshall Islands","","","","","","","","","","","","","","","","","","","","","","",""
"Mauritania","","","","","","","","","","","","","","","","","","","","","","",""
"Mauritius","","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","43","43","43","43","43","42","42","42","42","42","42","42","41","41","41","41","41","40","40","40","40","40","40"
"Micronesia (Federated States of)","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Mongolia","39","38","37","36","36","35","34","33","32","31","30","30","29","28","26","25","24","23","22","21","20","19","18"
"Montenegro","85","85","85","85","85","85","85","85","85","85","84","84","84","84","84","84","84","","","","","",""
"Morocco","75","75","74","74","73","72","70","68","66","63","59","56","54","51","48","45","44","44","43","43","42","42","42"
"Mozambique","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","57","57","57","56","54","53","51","50","49","47","46","45","43","41","40","38","37","35","33","32","30","29","28"
"Namibia","","","","","","","","","","","","","","","","","","","","","","",""
"Nauru","","","","","","","","","","","","","","","","","","","","","","",""
"Nepal","16","16","18","19","21","22","24","25","27","28","30","30","29","29","29","29","28","28","28","28","27","27","27"
"Netherlands (Kingdom of the)","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"New Zealand","100","100","99","98","97","96","95","94","93","92","91","90","89","88","87","86","85","84","84","84","84","84","84"
"Nicaragua","","","56","55","55","55","55","55","55","55","54","53","52","51","50","49","48","48","48","48","48","48","48"
"Niger","","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria","29","28","28","27","27","26","26","25","24","24","23","22","21","20","19","18","17","16","15","15","14","13","13"
"Niue","94","94","94","94","94","94","95","95","96","96","97","97","97","98","98","98","98","98","98","98","98","98","98"
"North Macedonia","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"Norway","99","99","99","99","99","99","99","99","99","99","99","99","99","100","100","100","100","100","100","100","100","100","100"
"occupied Palestinian territory, including east Jerusalem","80","80","80","79","79","79","78","78","78","77","77","77","76","76","76","75","75","75","74","74","74","73","73"
"Oman","91","91","91","90","90","89","89","89","88","88","87","87","86","86","85","85","85","84","84","84","84","84","84"
"Pakistan","51","50","49","48","47","45","44","43","42","41","40","39","38","37","36","36","36","36","35","35","35","35","35"
"Palau","90","89","88","87","85","84","83","82","81","79","78","77","76","75","74","72","71","70","69","68","67","66","65"
"Panama","","","","","","","","","","","","","","","","","","","","","","",""
"Papua New Guinea","","","","","","","","","","","","","","","","","","","","","","",""
"Paraguay","64","64","64","64","64","63","62","62","61","60","60","59","58","57","57","56","55","54","53","53","52","51","50"
"Peru","52","52","51","51","51","51","50","50","50","49","49","49","49","48","48","48","47","47","46","46","46","45","45"
"Philippines","48","48","47","47","47","47","47","46","46","46","46","45","45","45","45","45","45","45","44","43","42","41","41"
"Poland","89","89","90","90","91","91","91","92","92","92","93","93","93","94","93","93","92","92","","","","",""
"Portugal","95","95","95","95","95","95","95","95","95","94","94","94","94","94","94","94","94","94","94","94","94","94","94"
"Qatar","97","97","97","97","97","97","97","97","97","98","98","97","97","97","96","96","96","96","96","96","96","96","96"
"Republic of Korea","99","99","99","99","99","99","99","99","98","98","98","98","98","98","97","97","97","97","97","97","97","",""
"Republic of Moldova","75","75","74","74","74","73","73","73","72","70","67","65","62","60","57","55","53","50","48","46","44","42","40"
"Romania","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82"
"Russian Federation","76","76","76","76","76","76","76","76","76","75","75","75","75","75","75","75","75","75","75","75","75","75","75"
"Rwanda","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Kitts and Nevis","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Lucia","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Vincent and the Grenadines","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","62","62","62","62","62","62","62","62","62","62","61","61","61","61","61","61","61","60","60","60","60","61","61"
"San Marino","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Sao Tome and Principe","36","36","36","36","35","35","34","34","33","32","32","31","31","30","30","29","29","28","28","27","27","26","26"
"Saudi Arabia","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","27","26","26","26","25","25","25","25","24","24","24","23","23","23","22","22","22","21","21","21","20","20","20"
"Serbia","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","74","74","74","74","74"
"Seychelles","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","10","10","10","9","9","9","9","8","8","8","8","7","7","7","7","7","6","6","6","6","5","5","5"
"Singapore","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Slovakia","99","99","99","99","99","99","99","99","99","99","99","99","98","97","97","96","95","95","94","93","93","92","92"
"Slovenia","98","98","98","98","97","97","96","95","95","94","93","92","92","91","91","91","91","91","91","91","91","91","91"
"Solomon Islands","","","","","","","","","","","","","","","","","","","","","","",""
"Somalia","","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","","","","","","","","","","","","","","","","","","","","","","",""
"South Sudan","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","99","99","99"
"Sri Lanka","47","47","48","48","48","48","48","47","47","47","47","46","46","46","46","46","46","45","45","45","45","45","45"
"Sudan","","","","","","","","","","","","","","","","","","","","","","",""
"Suriname","56","56","56","56","55","55","55","55","54","54","54","54","54","53","53","53","53","53","53","52","52","52","52"
"Sweden","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","99","99","99","99","99","99"
"Switzerland","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97"
"Syrian Arab Republic","","","","","","","","","","","","","","","","","","","","","","",""
"Turkiye","","","","","","","","","","","","","","","","","","","","","","",""
"Tajikistan","55","55","55","55","54","54","53","52","51","50","49","49","47","46","45","44","43","41","40","39","38","37","36"
"Thailand","","","","","","","","","","","","","","","","","","","","","","",""
"Timor-Leste","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","19","19","19","18","18","17","17","17","16","16","15","13","9","9","8","8","8","8","8","8","8","8","7"
"Tonga","30","30","29","29","29","29","29","29","29","29","29","29","29","29","29","29","29","29","29","29","29","29","29"
"Trinidad and Tobago","","","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","74","74","74","75","75","76","77","76","76","76","75","75","74","74","74","74","73","73","73","73","72","72","72"
"Turkmenistan","95","95","95","95","95","94","92","91","89","87","85","84","82","80","78","77","75","73","71","70","69","68","67"
"Tuvalu","9","9","9","9","9","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Uganda","19","18","17","16","15","14","13","12","11","11","10","9","8","8","7","6","6","5","4","4","3","3","2"
"Ukraine","88","88","88","88","88","88","89","89","89","90","90","87","85","82","80","77","75","72","69","67","67","67","67"
"United Arab Emirates","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"United Republic of Tanzania","11","11","11","10","10","10","9","9","9","9","8","8","8","7","7","5","4","3","2","2","2","1","1"
"United States of America","97","97","97","97","97","97","97","96","96","96","96","96","96","95","95","95","95","95","","","","",""
"Uruguay","","","","","","","","","","","","","","","","","","","","","","",""
"Uzbekistan","80","79","78","77","76","75","73","72","71","70","69","68","67","66","64","63","62","60","59","58","56","55","54"
"Vanuatu","","","","","","","","","","","","","","","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","","","","","","","","","","","","","","","","","","","","","","",""
"Viet Nam","58","57","57","56","56","55","55","54","53","53","52","52","51","51","50","50","49","48","48","47","47","46","46"
"Yemen","","","","","","","","","","","","","","","","","","","","","","",""
"Zambia","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","27","26","27","27","27","27","27","27","27","28","28","28","28","28","29","29","29","29","29","29","29","29","29"
